game_index,decision_index,elapsed_ms,eligible,search_begin_ok,visits
9,24,1.6721,0,0,0
9,25,1.2977,0,0,0
9,26,708.0553,1,1,54
9,27,706.3032,1,1,55
9,28,712.8681,1,1,55
9,29,713.9251,1,1,56
9,30,712.1497,1,1,56
9,31,1.1179,0,0,0
9,32,1.2503,0,0,0
9,33,705.7610,1,1,55
9,34,1.1102,0,0,0
9,35,712.7506,1,1,51
9,36,703.1678,1,1,52
9,37,1.1987,0,0,0
9,38,708.8333,1,1,54
9,39,704.0706,1,1,54
9,40,1.6090,0,0,0
9,41,707.9104,1,1,56
9,42,1.6807,0,0,0
9,43,705.4785,1,1,56
9,44,1.3133,0,0,0
9,45,712.6024,1,1,59
9,46,1.4614,0,0,0
9,47,1.5572,0,0,0
9,48,5.1551,0,0,0
9,49,708.0148,1,1,71
9,50,707.6585,1,1,75
9,51,710.6495,1,1,56
9,52,706.8071,1,1,58
9,53,706.8420,1,1,57
9,54,1.3617,0,0,0
9,55,1.2804,0,0,0
9,56,709.9914,1,1,59
9,57,702.3819,1,1,74
9,58,1.3414,0,0,0
9,59,706.8418,1,1,75
9,60,1.8725,0,0,0
9,61,702.0466,1,1,134
9,62,1.4234,0,0,0
9,63,704.0766,1,1,147
9,64,704.7329,1,1,154
9,65,1.5266,0,0,0
9,66,704.9247,1,1,175
9,67,702.6082,1,1,186
9,68,1.2706,0,0,0
9,69,703.1767,1,1,227
9,70,703.3372,1,1,207
9,71,1.3485,0,0,0
9,72,1.3461,0,0,0
9,73,1.1261,0,0,0
9,74,1.1806,0,0,0
9,75,1.4442,0,0,0
9,76,1.1482,0,0,0
9,77,1.1466,0,0,0
10,0,0.2345,0,0,0
10,1,1.2147,0,0,0
10,2,710.1694,1,1,78
10,3,1.0961,0,0,0
10,4,703.0829,1,1,82
10,5,1.1504,0,0,0
10,6,702.7318,1,1,80
10,7,703.9944,1,1,79
10,8,702.3351,1,1,113
10,9,1.1252,0,0,0
10,10,707.5646,1,1,78
10,11,1.3379,0,0,0
10,12,1.4975,0,0,0
10,13,704.8576,1,1,75
10,14,0.9711,0,0,0
10,15,1.2876,0,0,0
10,16,705.7561,1,1,75
10,17,706.6351,1,1,75
10,18,703.3137,1,1,75
10,19,709.5841,1,1,73
10,20,0.9282,0,0,0
10,21,709.5807,1,1,75
10,22,702.7163,1,1,74
10,23,706.4900,1,1,70
10,24,702.9594,1,1,68
10,25,707.0539,1,1,71
10,26,1.3276,0,0,0
10,27,707.4753,1,1,70
10,28,1.0223,0,0,0
10,29,702.8206,1,1,72
10,30,704.9839,1,1,71
10,31,708.6243,1,1,64
11,0,0.1990,0,0,0
11,1,0.7551,0,0,0
11,2,701.2323,1,1,277
11,3,702.1471,1,1,298
11,4,701.8460,1,1,296
11,5,702.3803,1,1,319
11,6,709.3246,1,1,72
11,7,702.1315,1,1,71
11,8,717.8844,1,1,71
11,9,0.8950,0,0,0
11,10,704.6278,1,1,68
11,11,705.0171,1,1,72
11,12,0.9450,0,0,0
11,13,702.5534,1,1,77
11,14,703.4971,1,1,79
11,15,1.0388,0,0,0
11,16,703.4842,1,1,126
11,17,1.0164,0,0,0
11,18,704.7222,1,1,83
11,19,1.1873,0,0,0
11,20,706.4199,1,1,101
11,21,707.6625,1,1,73
11,22,1.0799,0,0,0
11,23,705.2165,1,1,70
11,24,0.9698,0,0,0
11,25,701.3954,1,1,70
11,26,701.7684,1,1,70
11,27,707.8857,1,1,70
11,28,705.0444,1,1,65
11,29,1.0377,0,0,0
11,30,1.0499,0,0,0
11,31,1.0335,0,0,0
11,32,0.9379,0,0,0
11,33,0.8310,0,0,0
11,34,0.8352,0,0,0
11,35,1.5939,0,0,0
11,36,701.5714,1,1,60
11,37,1.0754,0,0,0
11,38,1.3221,0,0,0
11,39,701.2954,1,1,83
11,40,706.2371,1,1,90
11,41,706.2303,1,1,101
11,42,1.3315,0,0,0
11,43,701.4954,1,1,102
11,44,1.2291,0,0,0
11,45,707.2409,1,1,84
12,0,0.2108,0,0,0
12,1,1.1330,0,0,0
12,2,1.0024,0,0,0
12,3,706.9557,1,1,79
12,4,0.7309,0,0,0
12,5,1.2131,0,0,0
12,6,705.9066,1,1,96
12,7,705.9779,1,1,98
12,8,711.0870,1,1,69
12,9,703.0028,1,1,64
12,10,1.5110,0,0,0
12,11,703.4663,1,1,61
12,12,706.0809,1,1,62
12,13,703.6736,1,1,55
12,14,705.7844,1,1,62
12,15,0.9705,0,0,0
12,16,711.0867,1,1,61
12,17,710.9254,1,1,58
12,18,0.9748,0,0,0
12,19,710.9907,1,1,60
12,20,709.9743,1,1,60
12,21,714.2276,1,1,56
12,22,704.7794,1,1,59
12,23,708.2808,1,1,56
12,24,711.0641,1,1,56
12,25,708.8928,1,1,54
12,26,709.5644,1,1,51
12,27,714.1017,1,1,51
12,28,1.1626,0,0,0
12,29,703.8189,1,1,49
12,30,1.6189,0,0,0
12,31,703.1303,1,1,49
12,32,1.2587,0,0,0
12,33,702.6553,1,1,49
12,34,704.3737,1,1,46
12,35,1.7638,0,0,0
12,36,709.4018,1,1,41
12,37,1.4418,0,0,0
12,38,701.5102,1,1,48
12,39,1.4800,0,0,0
12,40,1.3103,0,0,0
12,41,704.5616,1,1,50
12,42,715.9059,1,1,49
12,43,706.2106,1,1,48
12,44,1.5304,0,0,0
12,45,1.7237,0,0,0
12,46,1.2326,0,0,0
12,47,710.4127,1,1,48
12,48,714.6657,1,1,49
12,49,706.6878,1,1,48
12,50,1.2508,0,0,0
12,51,714.5055,1,1,49
12,52,714.9080,1,1,49
12,53,1.4021,0,0,0
12,54,705.0202,1,1,48
12,55,702.5216,1,1,48
12,56,1.3631,0,0,0
12,57,1.3669,0,0,0
12,58,1.1521,0,0,0
12,59,1.6376,0,0,0
12,60,1.3205,0,0,0
12,61,1.3164,0,0,0
12,62,1.2173,0,0,0
12,63,2.3511,0,0,0
12,64,711.4180,1,1,64
12,65,707.9834,1,1,63
12,66,712.5772,1,1,63
12,67,1.3029,0,0,0
12,68,701.8479,1,1,63
12,69,1.5247,0,0,0
12,70,713.0348,1,1,66
12,71,705.6094,1,1,66
12,72,1.6407,0,0,0
12,73,1.7923,0,0,0
12,74,703.0251,1,1,69
12,75,706.2390,1,1,70
12,76,1.4903,0,0,0
12,77,705.0687,1,1,74
12,78,1.6132,0,0,0
12,79,1.2998,0,0,0
12,80,1.3557,0,0,0
12,81,1.3541,0,0,0
12,82,1.2198,0,0,0
12,83,1.2408,0,0,0
12,84,1.3538,0,0,0
12,85,704.9283,1,1,166
12,86,1.4599,0,0,0
12,87,702.5434,1,1,201
12,88,1.4913,0,0,0
12,89,702.4635,1,1,232
12,90,1.6008,0,0,0
12,91,703.1516,1,1,281
12,92,1.4484,0,0,0
12,93,701.8747,1,1,322
12,94,1.6148,0,0,0
12,95,1.3081,0,0,0
12,96,1.5718,0,0,0
12,97,1.3281,0,0,0
12,98,1.2389,0,0,0
12,99,1.3726,0,0,0
12,100,1.3584,0,0,0
12,101,1.1886,0,0,0
13,0,0.1950,0,0,0
13,1,1.0188,0,0,0
13,2,709.1029,1,1,152
13,3,0.8856,0,0,0
13,4,709.7712,1,1,63
13,5,704.9284,1,1,57
13,6,705.6992,1,1,56
13,7,712.9260,1,1,47
13,8,1.3759,0,0,0
13,9,1.1555,0,0,0
13,10,1.1980,0,0,0
13,11,707.6119,1,1,49
13,12,703.8923,1,1,47
13,13,1.4867,0,0,0
13,14,707.8828,1,1,59
13,15,1.6827,0,0,0
13,16,1.7418,0,0,0
13,17,1.3521,0,0,0
13,18,704.7993,1,1,63
13,19,709.7193,1,1,62
13,20,1.2712,0,0,0
13,21,1.4840,0,0,0
13,22,705.4615,1,1,62
13,23,710.5071,1,1,64
13,24,704.4879,1,1,63
13,25,709.3419,1,1,63
13,26,0.9624,0,0,0
13,27,0.7989,0,0,0
13,28,707.5380,1,1,63
