game_number,game_id,episode_type,is_self_play_validation,timestamp,end_timestamp,result,reward,our_rating_before,our_rating_after,opponent_name,opponent_submission_id,opponent_team_id,opponent_rating,opponent_deck_hash,opponent_deck_ncards,opponent_deck_source,opponent_archetype,opponent_archetype_matched_cards,opponent_headline_signature,opponent_matchup_key,going_first,first_player_index,our_index,turns_ours,turns_opp,turns,steps,decision_count,invalid_actions,timeouts,near_decision_budget_calls_ge_1.8s,calls_ge_1.0s,errors_stderr_nonempty,stdout_nonempty_calls,fallback_count,safety_interventions,decision_duration_mean_s,decision_duration_median_s,decision_duration_max_s,decision_duration_p95_s,decision_duration_p99_s
25,92055639,EPISODE_TYPE_PUBLIC,False,2026-08-11T18:05:53.719Z,2026-08-11T18:06:28.376Z,LOSS,-1,,,H.Y,55270116,16387980,,ee7f38204626cae4,60,action,Dragapult ex,3,"Dragapult ex, Fezandipiti ex, Latias ex, Mega Lopunny ex",Dragapult ex,True,0,0,11,12,13,197,98,NA,NA,0,0,0,0,NA,NA,0.002829795918367347,0.00085,0.120592,0.00158,0.068216
26,92056608,EPISODE_TYPE_PUBLIC,False,2026-08-11T18:09:50.624Z,2026-08-11T18:10:27.630Z,LOSS,-1,,,Rintaro Moriwaki,55419974,16425903,,fcac695071c3f3cf,60,action,Fezandipiti ex,1,Fezandipiti ex,Fezandipiti ex,True,0,0,13,14,15,174,112,NA,NA,0,0,0,0,NA,NA,0.0030054464285714285,0.0010725,0.11945,0.00157,0.001796
27,92057550,EPISODE_TYPE_PUBLIC,False,2026-08-11T18:13:50.720Z,2026-08-11T18:14:53.313Z,WIN,1,,,Guu Yangqi,54424615,16500094,,4a256a933ac66a7b,60,action,Mega Lucario ex,4,Mega Lucario ex,Mega Lucario ex,False,0,1,12,11,13,132,101,NA,NA,0,0,0,0,NA,NA,0.002649168316831683,0.001062,0.15636,0.001614,0.00275
28,92058494,EPISODE_TYPE_PUBLIC,False,2026-08-11T18:17:50.635Z,2026-08-11T18:18:58.524Z,LOSS,-1,,,John Mitchell,55408606,16539359,,cce11dc600c9844e,60,action,UNLABELED,0,Archaludon ex,UNLABELED[Archaludon ex],True,0,0,9,10,11,153,94,NA,NA,0,0,0,0,NA,NA,0.00431895744680851,0.0013935,0.159573,0.002223,0.108924
29,92063308,EPISODE_TYPE_PUBLIC,False,2026-08-11T18:37:50.779Z,2026-08-11T18:38:52.261Z,LOSS,-1,,,G-Lin1k,54732172,16495681,,fcac695071c3f3cf,60,action,Fezandipiti ex,1,Fezandipiti ex,Fezandipiti ex,False,0,1,12,13,14,191,106,NA,NA,0,0,0,0,NA,NA,0.0030341132075471697,0.001393,0.176192,0.001749,0.001964
30,92064256,EPISODE_TYPE_PUBLIC,False,2026-08-11T18:41:51.985Z,2026-08-11T18:42:23.260Z,WIN,1,,,kunai,55435493,16381269,,32fbf5236415d7d7,60,action,Mega Lucario ex,4,Mega Lucario ex,Mega Lucario ex,True,0,0,5,4,6,47,37,NA,NA,0,0,0,0,NA,NA,0.005711162162162162,0.001056,0.172038,0.001529,0.00165
31,92074690,EPISODE_TYPE_PUBLIC,False,2026-08-11T19:25:52.722Z,2026-08-11T19:27:02.248Z,LOSS,-1,,,Gyan Melior,55435036,16487974,,fcac695071c3f3cf,60,action,Fezandipiti ex,1,Fezandipiti ex,Fezandipiti ex,True,0,0,11,12,13,177,97,NA,NA,0,0,0,0,NA,NA,0.003025453608247423,0.001292,0.16553,0.001835,0.002271
32,92084030,EPISODE_TYPE_PUBLIC,False,2026-08-11T20:05:51.648Z,2026-08-11T20:06:34.905Z,WIN,1,,,Roland Gerlinger,55440434,16407004,,dc2ce39b94cbbb38,60,action,Marnie's Grimmsnarl ex,3,Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex,True,0,0,23,22,24,177,100,NA,NA,0,0,0,0,NA,NA,0.00314969,0.001464,0.16241,0.00224,0.002708
33,92083858,EPISODE_TYPE_PUBLIC,False,2026-08-11T20:05:51.739Z,2026-08-11T20:09:54.892Z,WIN,1,,,To be happy,55439681,16661525,,dc2ce39b94cbbb38,60,action,Marnie's Grimmsnarl ex,3,Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex,False,0,1,12,11,13,173,100,NA,NA,0,0,0,0,NA,NA,0.00371285,0.001379,0.1461,0.00191,0.086463
34,92084005,EPISODE_TYPE_PUBLIC,False,2026-08-11T20:05:51.964Z,2026-08-11T20:15:07.525Z,WIN,1,,,Cloud,55422443,16666254,,0b145865cca81cc4,60,action,UNLABELED,0,"Abra, Alakazam, Dudunsparce, Dunsparce, Kadabra","UNLABELED[Abra, Alakazam, Dudunsparce, Dunsparce, Kadabra]",True,1,1,13,12,14,193,110,NA,NA,0,0,0,0,NA,NA,0.003357181818181818,0.0015660000000000001,0.198188,0.002008,0.002232
