episode_id,game_id,episode_type,timestamp,result,reward,opponent,our_rating,opponent_rating,replay_available,log_available,replay_path,log_path,coverage
92049984,92049984,EPISODE_TYPE_PUBLIC,2026-08-11T17:41:51.532Z,WIN,1,Venture2525?,NA,NA,True,True,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\replays\episode-92049984-replay.json,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\agent_logs\episode-92049984-agent-1-logs.json,BOTH_AVAILABLE
92049041,92049041,EPISODE_TYPE_PUBLIC,2026-08-11T17:37:50.873Z,WIN,1,Choruru,NA,NA,True,True,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\replays\episode-92049041-replay.json,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\agent_logs\episode-92049041-agent-1-logs.json,BOTH_AVAILABLE
92048087,92048087,EPISODE_TYPE_PUBLIC,2026-08-11T17:33:50.663Z,WIN,1,Tarang222,NA,NA,True,True,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\replays\episode-92048087-replay.json,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\agent_logs\episode-92048087-agent-0-logs.json,BOTH_AVAILABLE
92047143,92047143,EPISODE_TYPE_PUBLIC,2026-08-11T17:29:50.775Z,WIN,1,shinichiro uno3,NA,NA,True,True,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\replays\episode-92047143-replay.json,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\agent_logs\episode-92047143-agent-0-logs.json,BOTH_AVAILABLE
92046201,92046201,EPISODE_TYPE_PUBLIC,2026-08-11T17:25:50.851Z,WIN,1,sekken,NA,NA,True,True,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\replays\episode-92046201-replay.json,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\agent_logs\episode-92046201-agent-0-logs.json,BOTH_AVAILABLE
92045248,92045248,EPISODE_TYPE_PUBLIC,2026-08-11T17:21:51.417Z,WIN,1,mato,NA,NA,True,True,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\replays\episode-92045248-replay.json,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\agent_logs\episode-92045248-agent-1-logs.json,BOTH_AVAILABLE
92044295,92044295,EPISODE_TYPE_PUBLIC,2026-08-11T17:17:50.724Z,WIN,1,makimakiver,NA,NA,True,True,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\replays\episode-92044295-replay.json,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\agent_logs\episode-92044295-agent-1-logs.json,BOTH_AVAILABLE
92043348,92043348,EPISODE_TYPE_PUBLIC,2026-08-11T17:13:50.420Z,WIN,1,Arata,NA,NA,True,True,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\replays\episode-92043348-replay.json,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\agent_logs\episode-92043348-agent-0-logs.json,BOTH_AVAILABLE
92042379,92042379,EPISODE_TYPE_PUBLIC,2026-08-11T17:09:50.340Z,LOSS,-1,satoshi rizard,NA,NA,True,True,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\replays\episode-92042379-replay.json,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\agent_logs\episode-92042379-agent-1-logs.json,BOTH_AVAILABLE
92041426,92041426,EPISODE_TYPE_PUBLIC,2026-08-11T17:05:50.766Z,LOSS,-1,神奈川大学は国立大学,NA,NA,True,True,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\replays\episode-92041426-replay.json,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\agent_logs\episode-92041426-agent-0-logs.json,BOTH_AVAILABLE
92040440,92040440,EPISODE_TYPE_PUBLIC,2026-08-11T17:01:50.829Z,LOSS,-1,PRMNC,NA,NA,True,True,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\replays\episode-92040440-replay.json,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\agent_logs\episode-92040440-agent-1-logs.json,BOTH_AVAILABLE
92039487,92039487,EPISODE_TYPE_PUBLIC,2026-08-11T16:57:50.355Z,WIN,1,控制一些扫福瑞,NA,NA,True,True,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\replays\episode-92039487-replay.json,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\agent_logs\episode-92039487-agent-0-logs.json,BOTH_AVAILABLE
92038527,92038527,EPISODE_TYPE_PUBLIC,2026-08-11T16:53:50.740Z,LOSS,-1,Lixin73,NA,NA,True,True,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\replays\episode-92038527-replay.json,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\agent_logs\episode-92038527-agent-0-logs.json,BOTH_AVAILABLE
92037577,92037577,EPISODE_TYPE_PUBLIC,2026-08-11T16:49:57.014Z,LOSS,-1,takumina,NA,NA,True,True,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\replays\episode-92037577-replay.json,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\agent_logs\episode-92037577-agent-1-logs.json,BOTH_AVAILABLE
92036613,92036613,EPISODE_TYPE_PUBLIC,2026-08-11T16:45:50.571Z,WIN,1,PALTCG,NA,NA,True,True,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\replays\episode-92036613-replay.json,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\agent_logs\episode-92036613-agent-0-logs.json,BOTH_AVAILABLE
92035664,92035664,EPISODE_TYPE_PUBLIC,2026-08-11T16:41:50.479Z,WIN,1,shash,NA,NA,True,True,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\replays\episode-92035664-replay.json,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\agent_logs\episode-92035664-agent-0-logs.json,BOTH_AVAILABLE
92034712,92034712,EPISODE_TYPE_PUBLIC,2026-08-11T16:37:50.639Z,LOSS,-1,Ryosuke Takeda,NA,NA,True,True,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\replays\episode-92034712-replay.json,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\agent_logs\episode-92034712-agent-0-logs.json,BOTH_AVAILABLE
92033721,92033721,EPISODE_TYPE_PUBLIC,2026-08-11T16:33:50.133Z,LOSS,-1,Binghui Xu,NA,NA,True,True,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\replays\episode-92033721-replay.json,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\agent_logs\episode-92033721-agent-0-logs.json,BOTH_AVAILABLE
92032796,92032796,EPISODE_TYPE_PUBLIC,2026-08-11T16:29:50.384Z,WIN,1,KentoHako,NA,NA,True,True,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\replays\episode-92032796-replay.json,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\agent_logs\episode-92032796-agent-0-logs.json,BOTH_AVAILABLE
92032692,92032692,EPISODE_TYPE_VALIDATION,2026-08-11T16:27:33.093Z,WIN,1,SELF (validation),NA,NA,True,True,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\replays\episode-92032692-replay.json,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\agent_logs\episode-92032692-agent-0-logs.json,BOTH_AVAILABLE
