window_id,scheme,train_weeks,test_weeks,train_games,test_total_games,n_candidates,strategy,selected_archetype,selection_time_expected_win_rate,selection_note,test_games,test_wins,test_win_rate,is_oracle
ROLL_W8,rolling_weekly,"1,2,3,4,5,6,7",8,5660,1322,14,E_recent_meta_aware,Cynthia's Garchomp ex,0.5331,argmax_EWR_recent_prior,24,13,0.5417,False
ROLL_W8,rolling_weekly,"1,2,3,4,5,6,7",8,5660,1322,14,F_anti_meta,Cynthia's Garchomp ex,0.5667,"argmax_EWR_vs_dominant_set([""Marnie's Grimmsnarl ex""])",24,13,0.5417,False
ROLL_W8,rolling_weekly,"1,2,3,4,5,6,7",8,5660,1322,14,G_conservative_meta_aware,Marnie's Grimmsnarl ex,0.4145,argmax_conservative_EWR_wilson_lo_full_history_prior,421,179,0.4252,False
ROLL_W8,rolling_weekly,"1,2,3,4,5,6,7",8,5660,1322,14,ORACLE_NOT_AVAILABLE_AT_DECISION_TIME,Mega Lucario ex,,ORACLE_NOT_AVAILABLE_AT_DECISION_TIME,45,29,0.6444,True
COARSE_A_early_to_middle,coarse_period,"1,2,3","4,5",998,1994,7,A_most_popular,Mega Lucario ex,0.1754,argmax_usage_share,27,15,0.5556,False
COARSE_A_early_to_middle,coarse_period,"1,2,3","4,5",998,1994,7,B_highest_historical_wr,Marnie's Grimmsnarl ex,0.6118,argmax_full_history_win_rate,371,182,0.4906,False
COARSE_A_early_to_middle,coarse_period,"1,2,3","4,5",998,1994,7,C_recent_wr,Marnie's Grimmsnarl ex,0.6118,argmax_recent_window_win_rate,371,182,0.4906,False
COARSE_A_early_to_middle,coarse_period,"1,2,3","4,5",998,1994,7,D_meta_aware_full_history,Marnie's Grimmsnarl ex,0.5843,argmax_EWR_full_history_prior_policy2_fallback,371,182,0.4906,False
COARSE_A_early_to_middle,coarse_period,"1,2,3","4,5",998,1994,7,D_policy1_neutral_variant,UNLABELED_CLUSTER_02,0.5,argmax_EWR_full_history_prior_policy1_neutral,34,11,0.3235,False
COARSE_A_early_to_middle,coarse_period,"1,2,3","4,5",998,1994,7,E_recent_meta_aware,Marnie's Grimmsnarl ex,0.565,argmax_EWR_recent_prior,371,182,0.4906,False
