game_id,result,went_first,turns,n_decisions,main_decisions,retreat_chosen,attack_chosen_count,turns_with_attack_chosen,turns_with_main_visited,max_prize_deficit_faced,final_prize_margin_positive_means_behind,comeback_from_2plus_deficit
1786510596_f5677d5e_93,WIN,True,13,94,42,1,6,6,7,2,-2,True
1786510596_f5677d5e_94,WIN,False,10,76,32,2,5,5,5,1,-2,False
1786510596_f5677d5e_95,WIN,True,15,100,42,2,6,6,8,0,-5,False
1786510596_f5677d5e_96,LOSS,False,13,72,35,2,6,6,6,1,1,False
1786510596_f5677d5e_97,WIN,True,7,66,29,1,3,3,4,1,1,False
1786510596_f5677d5e_98,WIN,False,8,63,22,1,4,4,4,0,-4,False
1786510596_f5677d5e_99,WIN,True,13,109,50,1,6,6,7,0,0,False
1786510596_f5677d5e_100,WIN,False,10,92,41,0,5,5,5,1,-3,False
1786510596_f5677d5e_101,WIN,True,13,93,44,1,3,3,7,2,1,True
1786510596_f5677d5e_102,WIN,False,12,76,30,0,4,4,6,0,-5,False
1786510596_f5677d5e_103,WIN,True,21,101,49,2,7,7,11,1,-2,False
1786510596_f5677d5e_104,WIN,False,12,113,48,1,6,6,6,1,-2,False
1786510596_f5677d5e_105,WIN,True,15,76,33,2,7,7,8,0,-5,False
1786510596_f5677d5e_106,LOSS,False,13,97,46,2,6,6,6,3,-1,False
1786510596_f5677d5e_107,WIN,True,13,102,48,1,3,3,7,0,-5,False
1786510596_f5677d5e_108,WIN,False,8,51,28,2,4,4,4,0,0,False
1786510596_f5677d5e_109,LOSS,True,12,71,36,1,2,2,6,2,2,False
1786510596_f5677d5e_110,WIN,False,10,69,26,2,5,5,5,0,-5,False
1786510596_f5677d5e_111,LOSS,True,12,84,40,1,5,5,6,1,0,False
1786510596_f5677d5e_112,LOSS,False,15,43,28,3,3,3,7,5,5,False
1786510596_f5677d5e_113,LOSS,True,14,95,50,2,6,6,7,4,2,False
1786510596_f5677d5e_114,WIN,False,14,96,39,1,7,7,7,0,-4,False
1786510596_f5677d5e_115,LOSS,True,16,101,47,2,7,7,8,0,0,False
1786510596_f5677d5e_116,WIN,False,12,97,41,1,4,4,6,0,-5,False
1786510596_f5677d5e_117,WIN,True,11,89,35,1,4,4,6,0,-5,False
1786510596_f5677d5e_118,WIN,False,14,72,28,0,7,7,7,1,-3,False
1786510596_f5677d5e_119,WIN,True,17,134,63,2,7,7,9,0,-4,False
1786510596_f5677d5e_120,WIN,False,10,81,33,1,4,4,5,0,-5,False
1786510596_f5677d5e_121,WIN,True,11,103,44,1,4,4,6,0,-1,False
1786510596_f5677d5e_122,WIN,False,18,100,44,1,9,9,9,0,-5,False
1786510596_f5677d5e_123,LOSS,True,10,25,13,0,4,4,5,1,1,False
1786510596_f5677d5e_124,LOSS,False,13,36,18,0,2,2,6,4,4,False
1786510596_f5677d5e_125,LOSS,True,12,82,43,3,5,5,6,0,0,False
